"x","y","mean","variance","upper_var","lower_var"
-2.598082000000000669e+00,7.673346000000002221e+00,6.849868731696386881e-01,2.795742681810693853e+00,5.204624403769718022e+00,9.015194565718732955e-02
-2.548082000000000846e+00,7.673346000000002221e+00,6.849868521538758914e-01,2.795742627710088080e+00,5.204624144759827153e+00,9.015194461180978114e-02
-2.498082000000000136e+00,7.673346000000002221e+00,6.849868309831712576e-01,2.795742573502206785e+00,5.204623884375713772e+00,9.015194354945174626e-02
-2.448082000000000313e+00,7.673346000000002221e+00,6.849868096670719275e-01,2.795742519229724721e+00,5.204623622768266955e+00,9.015194247001261096e-02
-2.398082000000000491e+00,7.673346000000002221e+00,6.849867882156254195e-01,2.795742464936457505e+00,5.204623360094276840e+00,9.015194137342123770e-02
-2.348082000000000669e+00,7.673346000000002221e+00,6.849867666393953947e-01,2.795742410667337197e+00,5.204623096516505676e+00,9.015194025963903235e-02
-2.298082000000000846e+00,7.673346000000002221e+00,6.849867449494481120e-01,2.795742356468355005e+00,5.204622832203475546e+00,9.015193912865972214e-02
-2.248082000000000136e+00,7.673346000000002221e+00,6.849867231573677495e-01,2.795742302386506228e+00,5.204622567329485250e+00,9.015193798051343577e-02
-2.198082000000000313e+00,7.673346000000002221e+00,6.849867012752551831e-01,2.795742248469729851e+00,5.204622302074499274e+00,9.015193681526816050e-02
-2.148082000000000491e+00,7.673346000000002221e+00,6.849866793157278755e-01,2.795742194766844158e+00,5.204622036624016346e+00,9.015193563303190716e-02
-2.098082000000000669e+00,7.673346000000002221e+00,6.849866572919197649e-01,2.795742141327478336e+00,5.204621771168950417e+00,9.015193443395502770e-02
-2.048082000000000846e+00,7.673346000000002221e+00,6.849866352174780459e-01,2.795742088202015641e+00,5.204621505905496548e+00,9.015193321823124217e-02
-1.998082000000000136e+00,7.673346000000002221e+00,6.849866131065599495e-01,2.795742035441479256e+00,5.204621241034903534e+00,9.015193198610119141e-02
-1.948082000000000313e+00,7.673346000000002221e+00,6.849865909738332981e-01,2.795741983097521199e+00,5.204620976763451701e+00,9.015193073785260358e-02
-1.898082000000000491e+00,7.673346000000002221e+00,6.849865688344605186e-01,2.795741931222276211e+00,5.204620713302070989e+00,9.015192947382311139e-02
-1.848082000000000669e+00,7.673346000000002221e+00,6.849865467040932021e-01,2.795741879868312463e+00,5.204620450866196180e+00,9.015192819440073779e-02
-1.798082000000000846e+00,7.673346000000002221e+00,6.849865245988774332e-01,2.795741829088536079e+00,5.204620189675646103e+00,9.015192690002797604e-02
-3.298082000000000846e+00,7.623346000000001510e+00,6.849870866449098150e-01,2.795743263088766195e+00,5.204627093016655159e+00,9.015195526685156058e-02
-3.248082000000000136e+00,7.623346000000001510e+00,6.849870671153156509e-01,2.795743210342552576e+00,5.204626847785504218e+00,9.015195437399763090e-02
-3.198082000000000313e+00,7.623346000000001510e+00,6.849870473246402192e-01,2.795743156978810706e+00,5.204626599436836365e+00,9.015195346642143615e-02
-3.148082000000000491e+00,7.623346000000001510e+00,6.849870272765199442e-01,2.795743103022946041e+00,5.204626348044930850e+00,9.015195254379351764e-02
-3.098082000000000669e+00,7.623346000000001510e+00,6.849870069749863788e-01,2.795743048501884154e+00,5.204626093689852517e+00,9.015195160578820532e-02
-3.048082000000000846e+00,7.623346000000001510e+00,6.849869864244851891e-01,2.795742993444147562e+00,5.204625836457746679e+00,9.015195065208353453e-02
-2.998082000000000136e+00,7.623346000000001510e+00,6.849869656298691600e-01,2.795742937879786449e+00,5.204625576440661483e+00,9.015194968236250883e-02
-2.948082000000000313e+00,7.623346000000001510e+00,6.849869445964330561e-01,2.795742881840424854e+00,5.204625313736888081e+00,9.015194869631625030e-02
-2.898082000000000491e+00,7.623346000000001510e+00,6.849869233299148430e-01,2.795742825359243344e+00,5.204625048450944647e+00,9.015194769364473504e-02
-2.848082000000000669e+00,7.623346000000001510e+00,6.849869018365173368e-01,2.795742768470939499e+00,5.204624780693665187e+00,9.015194667406076223e-02
-2.798082000000000846e+00,7.623346000000001510e+00,6.849868801229015425e-01,2.795742711211777642e+00,5.204624510582241292e+00,9.015194563728787247e-02
-2.748082000000000136e+00,7.623346000000001510e+00,6.849868581962250680e-01,2.795742653619504026e+00,5.204624238240365131e+00,9.015194458306752257e-02
-2.698082000000000313e+00,7.623346000000001510e+00,6.849868360641326870e-01,2.795742595733361924e+00,5.204623963798170827e+00,9.015194351115778104e-02
-2.648082000000000491e+00,7.623346000000001510e+00,6.849868137347709940e-01,2.795742537594056110e+00,5.204623687392290421e+00,9.015194242133647839e-02
-2.598082000000000669e+00,7.623346000000001510e+00,6.849867912168082773e-01,2.795742479243743084e+00,5.204623409165988868e+00,9.015194131340369121e-02
-2.548082000000000846e+00,7.623346000000001510e+00,6.849867685194294120e-01,2.795742420725948474e+00,5.204623129268967752e+00,9.015194018718399038e-02
-2.498082000000000136e+00,7.623346000000001510e+00,6.849867456523598408e-01,2.795742362085588351e+00,5.204622847857589107e+00,9.015193904252893908e-02
-2.448082000000000313e+00,7.623346000000001510e+00,6.849867226258565811e-01,2.795742303368869308e+00,5.204622565094620512e+00,9.015193787931902181e-02
-2.398082000000000491e+00,7.623346000000001510e+00,6.849866994507318729e-01,2.795742244623300010e+00,5.204622281149442919e+00,9.015193669746633665e-02
-2.348082000000000669e+00,7.623346000000001510e+00,6.849866761383475167e-01,2.795742185897584164e+00,5.204621996197803746e+00,9.015193549691732922e-02
-2.298082000000000846e+00,7.623346000000001510e+00,6.849866527006197581e-01,2.795742127241593877e+00,5.204621710421811542e+00,9.015193427765422207e-02
-2.248082000000000136e+00,7.623346000000001510e+00,6.849866291500315008e-01,2.795742068706307926e+00,5.204621424009912012e+00,9.015193303969869232e-02
-2.198082000000000313e+00,7.623346000000001510e+00,6.849866054996233133e-01,2.795742010343742923e+00,5.204621137156690835e+00,9.015193178311275979e-02
-2.148082000000000491e+00,7.623346000000001510e+00,6.849865817630066411e-01,2.795741952206885816e+00,5.204620850062850579e+00,9.015193050800271446e-02
-2.098082000000000669e+00,7.623346000000001510e+00,6.849865579543490401e-01,2.795741894349619727e+00,5.204620562934974437e+00,9.015192921451954666e-02
-2.048082000000000846e+00,7.623346000000001510e+00,6.849865340883856124e-01,2.795741836826641347e+00,5.204620275985444522e+00,9.015192790286308266e-02
-1.998082000000000136e+00,7.623346000000001510e+00,6.849865101804086809e-01,2.795741779693396545e+00,5.204619989432247351e+00,9.015192657328266468e-02
-1.948082000000000313e+00,7.623346000000001510e+00,6.849864862462641257e-01,2.795741723005976453e+00,5.204619703498770455e+00,9.015192522607988479e-02
-1.898082000000000491e+00,7.623346000000001510e+00,6.849864623023388388e-01,2.795741666821051297e+00,5.204619418413571452e+00,9.015192386160929272e-02
-1.848082000000000669e+00,7.623346000000001510e+00,6.849864383655720479e-01,2.795741611195744714e+00,5.204619134410232384e+00,9.015192248028354449e-02
-1.798082000000000846e+00,7.623346000000001510e+00,6.849864144534184573e-01,2.795741556187587573e+00,5.204618851727006223e+00,9.015192108257023829e-02
-3.298082000000000846e+00,7.573346000000000799e+00,6.849870218629189322e-01,2.795743108388876852e+00,5.204626316763541816e+00,9.015195166065334553e-02
-3.248082000000000136e+00,7.573346000000000799e+00,6.849870007999563359e-01,2.795743051436245796e+00,5.204626052158635829e+00,9.015195069976525422e-02
-3.198082000000000313e+00,7.573346000000000799e+00,6.849869794535188294e-01,2.795742993809282151e+00,5.204625784161772017e+00,9.015194972301419918e-02
-3.148082000000000491e+00,7.573346000000000799e+00,6.849869578274601079e-01,2.795742935535308060e+00,5.204625512852394387e+00,9.015194873003835874e-02
-3.098082000000000669e+00,7.573346000000000799e+00,6.849869359260499779e-01,2.795742876643315000e+00,5.204625238316175739e+00,9.015194772047765981e-02
-3.048082000000000846e+00,7.573346000000000799e+00,6.849869137540020025e-01,2.795742817164013960e+00,5.204624960645316989e+00,9.015194669397583183e-02
