"x","y","z","mean"
4.800000000000000711e+00,4.000000000000003553e-01,4.000000000000000222e-01,2.073589063210002337e+01
5.000000000000000000e+00,4.000000000000003553e-01,4.000000000000000222e-01,2.292576515575916218e+01
5.200000000000000178e+00,4.000000000000003553e-01,4.000000000000000222e-01,2.419848011287828271e+01
5.400000000000000355e+00,4.000000000000003553e-01,4.000000000000000222e-01,2.399433271626639552e+01
5.600000000000000533e+00,4.000000000000003553e-01,4.000000000000000222e-01,2.225315784259718299e+01
4.800000000000000711e+00,6.000000000000000888e-01,4.000000000000000222e-01,2.036343129387643813e+01
5.000000000000000000e+00,6.000000000000000888e-01,4.000000000000000222e-01,2.204554861447755698e+01
5.200000000000000178e+00,6.000000000000000888e-01,4.000000000000000222e-01,2.287982995895249516e+01
5.400000000000000355e+00,6.000000000000000888e-01,4.000000000000000222e-01,2.242286914545295318e+01
5.600000000000000533e+00,6.000000000000000888e-01,4.000000000000000222e-01,2.064696181661056684e+01
5.000000000000000000e+00,8.000000000000002665e-01,4.000000000000000222e-01,2.085549717359066690e+01
5.200000000000000178e+00,8.000000000000002665e-01,4.000000000000000222e-01,2.118661781464347982e+01
5.400000000000000355e+00,8.000000000000002665e-01,4.000000000000000222e-01,2.049082922221327152e+01
5.000000000000000000e+00,-7.999999999999998224e-01,6.000000000000000888e-01,2.070608820394060956e+01
5.200000000000000178e+00,-7.999999999999998224e-01,6.000000000000000888e-01,2.167296159456781979e+01
5.400000000000000355e+00,-7.999999999999998224e-01,6.000000000000000888e-01,2.166173876944813159e+01
5.600000000000000533e+00,-7.999999999999998224e-01,6.000000000000000888e-01,2.072273176553772345e+01
4.800000000000000711e+00,-5.999999999999998668e-01,6.000000000000000888e-01,2.056760817656027385e+01
5.000000000000000000e+00,-5.999999999999998668e-01,6.000000000000000888e-01,2.297369403965631918e+01
5.200000000000000178e+00,-5.999999999999998668e-01,6.000000000000000888e-01,2.445538340094487495e+01
5.400000000000000355e+00,-5.999999999999998668e-01,6.000000000000000888e-01,2.458002519158920407e+01
5.600000000000000533e+00,-5.999999999999998668e-01,6.000000000000000888e-01,2.339485580384485175e+01
5.800000000000000711e+00,-5.999999999999998668e-01,6.000000000000000888e-01,2.136603776622334649e+01
4.800000000000000711e+00,-3.999999999999999112e-01,6.000000000000000888e-01,2.199446147369422633e+01
5.000000000000000000e+00,-3.999999999999999112e-01,6.000000000000000888e-01,2.519706159198581119e+01
5.200000000000000178e+00,-3.999999999999999112e-01,6.000000000000000888e-01,2.729438900393838452e+01
5.400000000000000355e+00,-3.999999999999999112e-01,6.000000000000000888e-01,2.760677912389810729e+01
5.600000000000000533e+00,-3.999999999999999112e-01,6.000000000000000888e-01,2.614929606712843935e+01
5.800000000000000711e+00,-3.999999999999999112e-01,6.000000000000000888e-01,2.356682498639832701e+01
6.000000000000000000e+00,-3.999999999999999112e-01,6.000000000000000888e-01,2.070141491243954590e+01
4.800000000000000711e+00,-1.999999999999999556e-01,6.000000000000000888e-01,2.307152272197697584e+01
5.000000000000000000e+00,-1.999999999999999556e-01,6.000000000000000888e-01,2.697772828164998771e+01
5.200000000000000178e+00,-1.999999999999999556e-01,6.000000000000000888e-01,2.966060682051696418e+01
5.400000000000000355e+00,-1.999999999999999556e-01,6.000000000000000888e-01,3.016614915830598420e+01
5.600000000000000533e+00,-1.999999999999999556e-01,6.000000000000000888e-01,2.843499275806849980e+01
5.800000000000000711e+00,-1.999999999999999556e-01,6.000000000000000888e-01,2.527383628210739985e+01
6.000000000000000000e+00,-1.999999999999999556e-01,6.000000000000000888e-01,2.176017849988107855e+01
4.800000000000000711e+00,0.000000000000000000e+00,6.000000000000000888e-01,2.366786245941696265e+01
5.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000888e-01,2.798081103744567599e+01
5.200000000000000178e+00,0.000000000000000000e+00,6.000000000000000888e-01,3.103562812675437854e+01
5.400000000000000355e+00,0.000000000000000000e+00,6.000000000000000888e-01,3.165673472614538753e+01
5.600000000000000533e+00,0.000000000000000000e+00,6.000000000000000888e-01,2.968151275156099445e+01
5.800000000000000711e+00,0.000000000000000000e+00,6.000000000000000888e-01,2.601427704226807336e+01
6.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000888e-01,2.191632999697411677e+01
4.800000000000000711e+00,2.000000000000001776e-01,6.000000000000000888e-01,2.379128211362712619e+01
5.000000000000000000e+00,2.000000000000001776e-01,6.000000000000000888e-01,2.808332548068647583e+01
5.200000000000000178e+00,2.000000000000001776e-01,6.000000000000000888e-01,3.114876003978157826e+01
5.400000000000000355e+00,2.000000000000001776e-01,6.000000000000000888e-01,3.172439512590729294e+01
5.600000000000000533e+00,2.000000000000001776e-01,6.000000000000000888e-01,2.956276906440688990e+01
5.800000000000000711e+00,2.000000000000001776e-01,6.000000000000000888e-01,2.557821353210340121e+01
6.000000000000000000e+00,2.000000000000001776e-01,6.000000000000000888e-01,2.111047613534151424e+01
4.800000000000000711e+00,4.000000000000003553e-01,6.000000000000000888e-01,2.352919369003847194e+01
5.000000000000000000e+00,4.000000000000003553e-01,6.000000000000000888e-01,2.736560742751736086e+01
5.200000000000000178e+00,4.000000000000003553e-01,6.000000000000000888e-01,3.004336997600960046e+01
5.400000000000000355e+00,4.000000000000003553e-01,6.000000000000000888e-01,3.038403267351687731e+01
5.600000000000000533e+00,4.000000000000003553e-01,6.000000000000000888e-01,2.812503713989816490e+01
5.800000000000000711e+00,4.000000000000003553e-01,6.000000000000000888e-01,2.410766288123876677e+01
4.800000000000000711e+00,6.000000000000000888e-01,6.000000000000000888e-01,2.296461301504328034e+01
5.000000000000000000e+00,6.000000000000000888e-01,6.000000000000000888e-01,2.600068793840199532e+01
5.200000000000000178e+00,6.000000000000000888e-01,6.000000000000000888e-01,2.797394300278254775e+01
5.400000000000000355e+00,6.000000000000000888e-01,6.000000000000000888e-01,2.794257880966344842e+01
