"x","y","z","mean"
5.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000222e-01,2.214937326758920122e+01
5.400000000000000355e+00,0.000000000000000000e+00,4.000000000000000222e-01,2.332352581483415221e+01
5.800000000000000711e+00,0.000000000000000000e+00,4.000000000000000222e-01,2.069573508170457288e+01
6.200000000000000178e+00,0.000000000000000000e+00,4.000000000000000222e-01,1.674308073105270012e+01
4.599999999999999645e+00,4.000000000000003553e-01,4.000000000000000222e-01,1.847461982461904739e+01
5.000000000000000000e+00,4.000000000000003553e-01,4.000000000000000222e-01,2.209921953067923539e+01
5.400000000000000355e+00,4.000000000000003553e-01,4.000000000000000222e-01,2.284720825034634828e+01
5.800000000000000711e+00,4.000000000000003553e-01,4.000000000000000222e-01,1.973295685430801427e+01
6.200000000000000178e+00,4.000000000000003553e-01,4.000000000000000222e-01,1.519239136636005938e+01
4.200000000000000178e+00,8.000000000000002665e-01,4.000000000000000222e-01,1.528813709689800149e+01
4.599999999999999645e+00,8.000000000000002665e-01,4.000000000000000222e-01,1.815373906923578673e+01
5.000000000000000000e+00,8.000000000000002665e-01,4.000000000000000222e-01,2.052853247268187076e+01
5.400000000000000355e+00,8.000000000000002665e-01,4.000000000000000222e-01,2.052425853662967725e+01
5.800000000000000711e+00,8.000000000000002665e-01,4.000000000000000222e-01,1.757655397442882617e+01
4.200000000000000178e+00,1.200000000000000178e+00,4.000000000000000222e-01,1.536285899762562046e+01
4.599999999999999645e+00,1.200000000000000178e+00,4.000000000000000222e-01,1.717040058645219247e+01
5.000000000000000000e+00,1.200000000000000178e+00,4.000000000000000222e-01,1.817681899884784968e+01
5.400000000000000355e+00,1.200000000000000178e+00,4.000000000000000222e-01,1.755979013718139825e+01
5.800000000000000711e+00,1.200000000000000178e+00,4.000000000000000222e-01,1.531641669554572793e+01
4.599999999999999645e+00,1.600000000000000089e+00,4.000000000000000222e-01,1.580306510783450058e+01
5.000000000000000000e+00,1.600000000000000089e+00,4.000000000000000222e-01,1.594916679814940075e+01
5.400000000000000355e+00,1.600000000000000089e+00,4.000000000000000222e-01,1.512496949437347737e+01
5.000000000000000000e+00,-1.600000000000000089e+00,8.000000000000000444e-01,1.503859990565259430e+01
5.400000000000000355e+00,-1.600000000000000089e+00,8.000000000000000444e-01,1.524889279531219444e+01
4.599999999999999645e+00,-1.199999999999999956e+00,8.000000000000000444e-01,1.568433547971647002e+01
5.000000000000000000e+00,-1.199999999999999956e+00,8.000000000000000444e-01,1.793809657021074599e+01
5.400000000000000355e+00,-1.199999999999999956e+00,8.000000000000000444e-01,1.839504484104645599e+01
5.800000000000000711e+00,-1.199999999999999956e+00,8.000000000000000444e-01,1.694204046535518060e+01
4.599999999999999645e+00,-7.999999999999998224e-01,8.000000000000000444e-01,1.797547563301130324e+01
5.000000000000000000e+00,-7.999999999999998224e-01,8.000000000000000444e-01,2.235188993950771774e+01
