"x","y","z","mean"
5.200000000000000178e+00,6.000000000000000888e-01,3.000000000000000444e-01,2.092954998907756448e+01
5.299999999999999822e+00,6.000000000000000888e-01,3.000000000000000444e-01,2.079107732851030832e+01
5.400000000000000355e+00,6.000000000000000888e-01,3.000000000000000444e-01,2.037705709513461727e+01
5.100000000000000533e+00,7.000000000000001776e-01,3.000000000000000444e-01,2.023858084058223383e+01
5.200000000000000178e+00,7.000000000000001776e-01,3.000000000000000444e-01,2.027705823474763136e+01
5.299999999999999822e+00,7.000000000000001776e-01,3.000000000000000444e-01,2.007504168480597428e+01
5.200000000000000178e+00,-6.999999999999999556e-01,4.000000000000000222e-01,2.019520962991159152e+01
5.299999999999999822e+00,-6.999999999999999556e-01,4.000000000000000222e-01,2.029606456274065707e+01
5.400000000000000355e+00,-6.999999999999999556e-01,4.000000000000000222e-01,2.018970853036430313e+01
5.000000000000000000e+00,-5.999999999999998668e-01,4.000000000000000222e-01,2.015263502097973713e+01
5.100000000000000533e+00,-5.999999999999998668e-01,4.000000000000000222e-01,2.072931107263725536e+01
5.200000000000000178e+00,-5.999999999999998668e-01,4.000000000000000222e-01,2.109726078455845055e+01
5.299999999999999822e+00,-5.999999999999998668e-01,4.000000000000000222e-01,2.123189758611488642e+01
5.400000000000000355e+00,-5.999999999999998668e-01,4.000000000000000222e-01,2.112789428463016606e+01
5.500000000000000000e+00,-5.999999999999998668e-01,4.000000000000000222e-01,2.079975819049449015e+01
5.600000000000000533e+00,-5.999999999999998668e-01,4.000000000000000222e-01,2.027933311000602856e+01
4.900000000000000355e+00,-5.000000000000000000e-01,4.000000000000000222e-01,2.003162018367941855e+01
5.000000000000000000e+00,-5.000000000000000000e-01,4.000000000000000222e-01,2.088325085401381642e+01
5.100000000000000533e+00,-5.000000000000000000e-01,4.000000000000000222e-01,2.155050529298166850e+01
5.200000000000000178e+00,-5.000000000000000000e-01,4.000000000000000222e-01,2.198469962118882393e+01
5.299999999999999822e+00,-5.000000000000000000e-01,4.000000000000000222e-01,2.215506896842203233e+01
5.400000000000000355e+00,-5.000000000000000000e-01,4.000000000000000222e-01,2.205361320248780288e+01
5.500000000000000000e+00,-5.000000000000000000e-01,4.000000000000000222e-01,2.169604322621504622e+01
5.600000000000000533e+00,-5.000000000000000000e-01,4.000000000000000222e-01,2.111882589861349047e+01
5.700000000000000178e+00,-5.000000000000000000e-01,4.000000000000000222e-01,2.037336560148278863e+01
4.900000000000000355e+00,-3.999999999999999112e-01,4.000000000000000222e-01,2.060952697970509462e+01
5.000000000000000000e+00,-3.999999999999999112e-01,4.000000000000000222e-01,2.156493699134308883e+01
5.100000000000000533e+00,-3.999999999999999112e-01,4.000000000000000222e-01,2.232139824694208130e+01
5.200000000000000178e+00,-3.999999999999999112e-01,4.000000000000000222e-01,2.282114057186710454e+01
